run_num	key_true	key_false	trial_type	trial_num	hand	trial_dur	iti_dur	story	question	condition	answer	story_dur	question_dur	text_height	reward_value	reward_cue	reward_cue_dur	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct	points_earned
1	4	3	1	0	left	15	0	Sophie tells her mother that her train  from Budapest is arriving at 8PM in  Vienna. Sophie confuses the platform numbers and boards the train  to Prague without realising her mistake.	"Sophie arrives at the station 
in Prague does not see her mother

True or False"	belief	True	10	4	1.25	3	3	1	True	0	15	8.000856375001604	0	8.000857416664076	0		False	0
1	4	3	1	1	left	15	0	An old photograph of the public library portrays a red-brick building with green ivy creeping up the side. Soon after the photograph was taken, the building was  demolished and the site was left derelict	"A photograph taken today shows
an empty site

True or False"	photo	True	10	4	1.25	1	1	1	True	15	30	24.07057087500289	0	24.070571958334767	2	2.7767284999936237	False	0
2	4	3	0	0	left	15	0	Expecting the game to be postponed because of the rain, the Garcia family took the subway home. The score was tied, 3-3. During their commute the rain stopped and the game soon ended with a score of 5-3.	"The Garcia family arrives home 
believing the score is 5-3.

True or False"	belief	False	10	4	1.25	3	3	1	True	0	15	113.0006450416622	0	113.00064608333196	3	2.62689712500287	True	3
2	4	3	1	1	left	15	0	Accounts of the country's bustling economic  success were recorded in both fiction and non-fiction books from the early 1900s. Soon after, a horrible plague hit the country and  the country was sent into an economic depression.	"Early 1900s novels portray the
country as experiencing economic 
wealth.

True or False"	photo	True	10	4	1.25	1	1	1	True	15	30	128.00063562500145	0	128.00063674999546	3	2.366836624998541	False	0
3	4	3	1	0	left	15	0	When Lisa left Jacob he was deep asleep on the beach. A few minutes later a wave woke him. Seeing Lisa was gone Jacob decided to go swimming.	"Lisa now believes that Jacob is sleeping.

True or False "	belief	True	10	4	1.25	3	3	1	True	0	15	148.0006673750031	0	148.00066837500344	3	2.4225743749993853	False	0
3	4	3	1	1	left	15	0	At the time a portrait was drawn of a young man, he had short brown hair and no facial hair. Now the man's hair is long and gray and so is his beard.  	"Today the length of the man's hair
is long.

True or False "	photo	True	10	4	1.25	1	1	1	True	15	30	163.00051737500326	0	163.0005183750036	4	1.921645541660837	True	1
4	4	3	1	0	left	15	0	Susie parked her sportscar in the driveway. In the middle of the night Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.	"Susie sees the minivan in
the driveway.

True or False "	belief	True	10	4	1.25	1	1	1	True	0	15	78.00079512500088	0	78.00079612500122	4	2.126551624998683	True	1
4	4	3	0	1	left	15	0	The girl's middle school pictures showed her wearing a white blouse. Later, a red sock was accidentally washed with the blouse and the blouse turned pink.  	"Today the color of the blouse is white.

True or False "	photo	False	10	4	1.25	3	3	1	True	15	30	93.00057599999856	0	93.0005770416683	3	2.0249650416662917	True	3
6	4	3	1	0	left	15	0	Laura didn't have time to braid her horse's mane before going to camp. While she was at camp, William brushed Laura's horse and braided the horse's mane for her.	"Laura returns assuming that her
horse's hair isn't braided

True or False"	belief	True	10	4	1.25	3	3	1	True	0	15	43.00063349999982	0	43.00063450000016	3	2.591243291666615	False	0
6	4	3	0	1	left	15	0	A large oak tree stood in front of City Hall from the time the building was built. Last year the tree fell down and was replaced by a stone fountain.	"An antique drawing of City Hall
shows a fountain in front.

True or False "	photo	False	10	4	1.25	1	1	1	True	15	30	58.00056708333432	0	58.0005681666662	4	2.3233787916688016	False	0
