run_num	trial_num	hand	key_yes	key_no	trial_dur	iti_dur	story	question	options	trial_type	condition	story_dur	question_dur	text_height	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	right	1	2	14	1	"Richard backed his new red Peugeot into his neighbor Ted’s old Volvo, leaving only a scratch above the wheel. He knocked on Ted’s door, saying, “I’m sorry about the scratch.”
Ted looked and said, “Don’t worry. It was an accident.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	113.00027820840478	0	113.00027916673572	2	3.4563492501620203	True
1	1	right	1	2	14	1	"John stopped at the petrol station to fill his car. When the cashier ran his card she said ""The machine won't accept it."" ""That's funny,"" John said. ""I'll pay in cash."" He gave her fifty and said, ""I filled up with unleaded."""	Did the machine accept John's card?	Yes, No	2	control	10	4	1.25	True	15	30	128.00004833331332	0	128.00005783350207	1	3.017454791581258	False
3	0	right	1	2	14	1	Emma was leaving the office when she noticed it was raining. She reached for her umbrella but realized she had left it at home. “I’ll just run,” she thought, and hurried to the bus stop.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	8.00026633311063	0	8.000267249997705	2	3.2637219168245792	True
3	1	right	1	2	14	1	Sally, a three-year-old girl with short blonde hair was at her Aunt Carol's house. A neighbour, Mary, rang the doorbell and Carol answered. Mary looked at Sally and said, “Oh, I don’t think I’ve met this little boy. What’s your name?”	Did Sally ring the doorbell?	Yes, No	2	control	10	4	1.25	True	15	30	23.000071083195508	0	23.00007208320312	2	2.577470541698858	True
3	0	right	1	2	14	1	Liam ordered a cappuccino at the café. When his drink arrived, he saw it was a latte. “Excuse me,” he said, “I ordered a cappuccino.” The barista apologized and quickly made the right drink.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	183.0001969167497	0	183.0001977917273	2	2.072153541725129	True
3	1	right	1	2	14	1	"Kim’s cousin Scott was coming to visit, and Kim made an apple pie for him. After dinner, she said, “I made a pie just for you.”
“Mmmm,” Scott replied. “It smells great! I love pies—except for apple, of course.”"	Is Scott Kim's brother?	Yes, No	2	control	10	4	1.25	True	15	30	198.0000525417272	0	198.0000537915621	2	3.364561333321035	True
5	0	left	4	3	14	1	Sophia baked a chocolate cake for her grandmother’s birthday. When her cousin Alex saw the cake, he said, “Oh great, cake! I love all cake apart from chocolate cake.” Sophia frowned and said, “Oh, it’s grandma’s favorite.”	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	0	15	113.0002356248442	0	113.00023654173128	4	3.10304266680032	True
5	1	left	4	3	14	1	"Joan took her dog, Zack, to the park and threw a stick for him. Pam, a neighbor, passed by and asked, “Want to walk home together?”
“Sure,” said Joan. She called Zack but he was busy chasing pigeons. “Nevermind, we’ll stay” Joan added."	Did Joan walk home with Pam?	Yes, No	2	control	10	4	1.25	True	15	30	128.0000180832576	0	128.0000191249419	3	2.4893832500092685	True
6	0	left	4	3	14	1	"Jeanette gave Anne a crystal bowl as a wedding gift. A year later, at Anne’s for dinner, Jeanette accidentally broke the bowl.
“I’m sorry,” Jeanette said.
“Don’t worry,” Anne replied. “I never liked it anyways. Someone gave it to me.”"	Did the bowl break?	Yes, No	1	control	10	4	1.25	True	0	15	148.0002324169036	0	148.000233333325	4	1.6730879587121308	True
6	1	left	4	3	14	1	At the office, Jake saw his coworker Lily with a big smile. “Congrats on your promotion!” he said. Lily’s face fell. “I didn’t get it,” she replied. “Oh,” Jake muttered, and walked away.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	163.000049458351	0	163.00007600011304	4	2.1582195835653692	True
7	0	left	4	3	14	1	Bob went to the barber for a haircut. “Just take about an inch off,” Bob said. The barber cut the front uneven, so he had to go shorter. “It’s shorter than you wanted,” he said. “Oh well,” Bob replied, “it’ll grow out.”	Did Bob want to keep the same hairstyle?	Yes, No	1	control	10	4	1.25	True	0	15	8.000258708605543	0	8.000259666936472	4	2.5893782081548125	True
7	1	left	4	3	14	1	"Roger, new at the office, told Andrew, “My wife’s a lawyer.” Moments later, Claire walked into the coffee room, complaining, “Lawyers are so arrogant and greedy.”
Andrew asked Claire to review reports.
“Not now,” she said. “I need coffee.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	23.000064874999225	0	23.00007504178211	4	2.358583875000477	True
9	0	right	1	2	14	1	"Jim was shopping for a shirt to match his suit. He found the right color but it didn’t fit.
“It’s too small,” he said.
“Not to worry,” the salesman replied. “We’ll have larger sizes next week.”"	Did Jim try something on?	Yes, No	1	control	10	4	1.25	True	0	15	393.00028733327053	0	393.00028837495483	1	2.4611051667016	True
9	1	right	1	2	14	1	"Eleanor, an older lady, tiredly stood waiting 20 minutes for a late bus. When it arrived there were no seats left.
Eleanor greeted her neighbour Paul, speaking about the wait.
A young man stood and said, “Ma’am, would you like my seat?”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	408.0000755416695	0	408.0000770832412	2	2.6312015834264457	True
