word,session_list
gorilla     ,1
rabbit      ,1
soldier     ,1
television  ,1
arm         ,1
piano       ,1
ant         ,1
broom       ,1
chair       ,1
rooster     ,1
hammer      ,1
cigar       ,1
dress       ,1
bowl        ,1
pear        ,1
fly         ,1
dog         ,1
belt        ,1
onion       ,1
pepper      ,1
disease     ,1
alligator   ,1
mouse       ,1
cake        ,1
bread       ,1
sled        ,1
penguin     ,1
laptop      ,1
machine     ,1
pants       ,1
lobster     ,1
bicycle     ,1
bird        ,1
peacock     ,1
tree        ,1
chocolate   ,1
lemon       ,1
sock        ,1
basket      ,1
box         ,1
beetle      ,1
school      ,1
sweater     ,1
professor   ,1
dog         ,1
cake        ,1
thumb       ,1
glasses     ,1
pineapple   ,1
owl         ,1
monkey      ,1
flower      ,1
fox         ,1
bottle      ,1
peanut      ,1
music       ,1
strawberry  ,1
ladder      ,1
chapel      ,1
stool       ,1
axe         ,1
paperclip   ,1
peach       ,1
suitcase    ,1
toaster     ,1
book        ,1
ruler       ,1
screwdriver ,1
airplane    ,1
baseball    ,1
football    ,1
zipper      ,1
leg         ,1
number      ,1
horse       ,1
mouth       ,1
flute       ,1
mail        ,1
shampoo     ,1
windmill    ,1
basket      ,1
snake       ,1
harp        ,1
apple       ,1
refrigerator,1
gym         ,1
corn        ,1
tiger       ,1
desk        ,1
bed         ,1
breakfast   ,1
fire        ,1
net         ,1
car         ,1
candle      ,1
light       ,1
wineglass   ,1
whistle     ,1
telephone   ,1
asparagus   ,1
cat         ,1
kite        ,1
watermelon  ,1
boot        ,1
pitcher     ,1
cap         ,1
passport    ,1
accordion   ,1
store       ,1
nurse       ,1
iron        ,1
doctor     ,2
brain      ,2
moon       ,2
sound      ,2
bucket     ,2
bookcase   ,2
cookbook   ,2
turkey     ,2
dinner     ,2
cotton     ,2
nest       ,2
road       ,2
cemetery   ,2
rocket     ,2
crown      ,2
joke       ,2
cornflakes ,2
gallery    ,2
forest     ,2
bedroom    ,2
plate      ,2
cream      ,2
fairytale  ,2
shovel     ,2
laundry    ,2
cane       ,2
lottery    ,2
salon      ,2
family     ,2
fence      ,2
tennis     ,2
eyes       ,2
supermarket,2
gold       ,2
calorie    ,2
king       ,2
cloud      ,2
cabin      ,2
seat       ,2
sugar      ,2
tape       ,2
bridge     ,2
ears       ,2
winter     ,2
banana     ,2
carriage   ,2
candy      ,2
notepad    ,2
dinosaur   ,2
keyboard   ,2
pastry     ,2
tears      ,2
tongue     ,2
mask       ,2
store      ,2
oatmeal    ,2
pilot      ,2
garden     ,2
sink       ,2
lawyer     ,2
crocodile  ,2
email      ,2
perfume    ,2
vacation   ,2
jail       ,2
sidewalk   ,2
theme-park ,2
blanket    ,2
heart      ,2
earphones  ,2
pillow     ,2
birthday   ,2
trailer    ,2
tank       ,2
milk       ,2
sink       ,2
scientist  ,2
word       ,2
group      ,2
lipstick   ,2
sun        ,2
waves      ,2
daffodil   ,2
flesh      ,2
story      ,2
dollhouse  ,2
luggage    ,2
falcon     ,2
mustard    ,2
moustache  ,2
bones      ,2
crowd      ,2
hotel      ,2
kayak      ,2
mice       ,2
body       ,2
crayon     ,2
parcel     ,2
studio     ,2
