run_num	trial_num	hand	key_yes	key_no	trial_dur	iti_dur	story	question	options	trial_type	condition	story_dur	question_dur	text_height	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	14	1	"Jill had just moved into a new flat and bought curtains for her bedroom. After decorating, her best friend Lisa visited. Jill gave her a tour and asked, “How do you like my bedroom?”
“Those curtains are horrible,” Lisa said."""	Did Jill just move into a new flat?	Yes, No	1	control	10	4	1.25	True	0	15	78.00024704169482	0	78.0002479585819	4	2.9174227085895836	True
1	1	left	4	3	14	1	"Louise went to the butcher and asked, “Do you have any free-range chickens?”
The butcher nodded and began wrapping a roasted chicken.
“Excuse me,” Louise said, “I asked for free-range.”
“Oh sorry,” the butcher replied, “we’re all out.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	93.00002408353612	0	93.00004187505692	3	3.44355500000529	True
2	0	left	4	3	14	1	"Joan took her dog, Zack, to the park and threw a stick for him. Pam, a neighbor, passed by and asked, “Want to walk home together?”
“Sure,” said Joan. She called Zack but he was busy chasing pigeons. “Nevermind, we’ll stay” Joan added."	Did Joan walk home with Pam?	Yes, No	2	control	10	4	1.25	True	0	15	113.00019437493756	0	113.00019533350132	3	2.080247291829437	True
2	1	left	4	3	14	1	Sophia baked a chocolate cake for her grandmother’s birthday. When her cousin Alex saw the cake, he said, “Oh great, cake! I love all cake apart from chocolate cake.” Sophia frowned and said, “Oh, it’s grandma’s favorite.”	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	128.00003249989825	0	128.0000334167853	3	3.098430083366111	False
3	0	left	4	3	14	1	"Jeanette gave Anne a crystal bowl as a wedding gift. A year later, at Anne’s for dinner, Jeanette accidentally broke the bowl.
“I’m sorry,” Jeanette said.
“Don’t worry,” Anne replied. “I never liked it anyways. Someone gave it to me.”"	Did the bowl break?	Yes, No	1	control	10	4	1.25	True	0	15	78.00026662484743	0	78.00026754150167	4	2.0797472498379648	True
3	1	left	4	3	14	1	At the office, Jake saw his coworker Lily with a big smile. “Congrats on your promotion!” he said. Lily’s face fell. “I didn’t get it,” she replied. “Oh,” Jake muttered, and walked away.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	93.00006762496196	0	93.00006849993952	4	2.4700708750169724	True
4	0	left	4	3	14	1	Emily was meeting her friend Alice’s boyfriend for the first time. While chatting, she said, “You and your brother don’t look alike at all!” Sam said. “He’s actually my boyfriend,” he said.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	0	15	43.000243875198066	0	43.00024479161948	0		False
4	1	left	4	3	14	1	Joe found a sailing book at the library. After checking his wallet he realized he’d left his library card at home. “I’m sorry,” he said to the librarian. She replied, “That’s OK. If you’re in the computer, you can check out with your driving license”	Did Joe check out the book?	Yes, No	1	control	10	4	1.25	True	15	30	58.000023833243176	0	58.000024708453566	3	2.296587041579187	False
5	0	left	4	3	14	1	"Mike started at a new school. While in a bathroom stall he overheard Joe and Peter at the sinks.
“Doesn’t the new guy, Mike, look weird? And he’s so short!” Joe said.
Mike emerged.
“Oh hi, Mike!” Peter said. “Are you going out to play?”"	Is Mike new in the class?	Yes, No	1	control	10	4	1.25	True	0	15	148.00017762510106	0	148.00017854152247	4	1.8753784582950177	True
5	1	left	4	3	14	1	Laura gave her friend Nina a handmade scarf for her birthday. Nina unwrapped it and said, “Oh… this is nice. My grandma used to make scarves like these, but I never really wore them.” Laura forced a smile.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	163.00003270828165	0	163.00003366661258	4	2.6218250831589103	True
10	0	right	1	2	14	1	"Richard backed his new red Peugeot into his neighbor Ted’s old Volvo, leaving only a scratch above the wheel. He knocked on Ted’s door, saying, “I’m sorry about the scratch.”
Ted looked and said, “Don’t worry. It was an accident.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	183.00026333332065	0	183.0002642918844	2	2.3236113749444485	True
10	1	right	1	2	14	1	"John stopped at the petrol station to fill his car. When the cashier ran his card she said ""The machine won't accept it."" ""That's funny,"" John said. ""I'll pay in cash."" He gave her fifty and said, ""I filled up with unleaded."""	Did the machine accept John's card?	Yes, No	2	control	10	4	1.25	True	15	30	198.00006333342753	0	198.00006433343515	1	2.3547828749287874	False
11	0	right	1	2	14	1	Emma was leaving the office when she noticed it was raining. She reached for her umbrella but realized she had left it at home. “I’ll just run,” she thought, and hurried to the bus stop.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	148.00018279161304	0	148.00018374994397	2	2.5431637500878423	True
11	1	right	1	2	14	1	Sally, a three-year-old girl with short blonde hair was at her Aunt Carol's house. A neighbour, Mary, rang the doorbell and Carol answered. Mary looked at Sally and said, “Oh, I don’t think I’ve met this little boy. What’s your name?”	Did Sally ring the doorbell?	Yes, No	2	control	10	4	1.25	True	15	30	163.0000437083654	0	163.00004462501963	2	3.0046917081344873	True
