options,answer,stimulus_id,image,race,sex,age,correct
"anxious,disappointed,shocked,concerned",shocked,practice,3Aghast-J.jpg,White,F,50,1
"nervous,sarcastic,curious,friendly",friendly,1,37Friendly-Ad.jpg,White,F,50,1
"threatening,disappointed,panicked,concerned",panicked,2,52Panicked-J.jpg,Non-white,F,41,1
"indifferent,relieved,puzzled,terrified",relieved,3,60Relieved-S.jpg,Non-white,M,19,1
"excited,embarrassed,interested,sarcastic",excited,4,33Excited-L.jpg,Non-white,M,24,1
"threatening,panicked,concerned,disappointed",panicked,5,52Panicked-J.jpg,White,F,50,1
"disappointed,confident,confused,uneasy",confident,6,17Confident-R.jpg,White,F,29,1
"curious,friendly,sarcastic,nervous",friendly,7,37Friendly-Ad.jpg,Non-white,F,41,1
"amused,excited,curious,disappointed",amused,8,5Amused-Ly.jpg,White,M,48,1
"irritated,threatening,concerned,terrified",terrified,9,68Terrified-A.jpg,Non-white,F,24,1
"interested,sarcastic,embarrassed,excited",excited,10,33Excited-L.jpg,Non-white,M,21,1
"indifferent,preoccupied,uneasy,puzzled",indifferent,11,46Indifferent-Ju.jpg,Non-white,M,19,0
"friendly,sarcastic,curious,nervous",friendly,12,37Friendly-Ad.jpg,Non-white,F,29,1
"sarcastic,interested,embarrassed,excited",excited,13,33Excited-L.jpg,White,F,35,1
"amused,excited,curious,disappointed",amused,14,5Amused-Ly.jpg,Non-white,M,28,1
"relieved,indifferent,puzzled,terrified",relieved,15,60Relieved-S.jpg,White,M,45,1
"panicked,threatening,disappointed,concerned",panicked,16,52Panicked-J.jpg,White,F,26,1
"confused,hostile,threatening,amused",confused,17,18Confused-Ad.jpg,Non-white,F,29,1
"thoughtful,excited,fantasizing,joking",joking,18,50Joking-S.jpg,Non-white,M,19,1
"curious,amused,excited,disappointed",amused,19,5Amused-Ly.jpg,Non-white,F,41,1
"confused,hostile,threatening,amused",confused,20,18Confused-Ad.jpg,Non-white,F,24,1
"uneasy,puzzled,indifferent,preoccupied",indifferent,21,46Indifferent-Ju.jpg,Non-white,F,29,0
"indifferent,preoccupied,puzzled,uneasy",indifferent,22,46Indifferent-Ju.jpg,White,M,22,0
"uneasy,confused,confident,disappointed",confident,23,17Confident-R.jpg,Non-white,M,25,1
"nervous,ashamed,affectionate,friendly",ashamed,24,11Ashamed-B.jpg,Non-white,M,24,1
"excited,disappointed,curious,amused",amused,25,5Amused-Ly.jpg,White,F,44,1
"accusing,confused,cautious,dominant",accusing,26,1Accusing-L.jpg,Non-white,F,29,1
"disappointed,excited,amused,curious",amused,27,5Amused-Ly.jpg,White,M,45,1
"friendly,sarcastic,curious,nervous",friendly,28,37Friendly-Ad.jpg,Non-white,F,21,1
"affectionate,ashamed,friendly,nervous",ashamed,29,11Ashamed-B.jpg,Non-white,M,26,1
"curious,distrustful,hostile,joking",distrustful,30,28Distrustful-A.jpg,White,M,21,1
"concerned,confused,defiant,disappointed",concerned,31,16Concerned-J.jpg,White,F,50,1
"depressed,preoccupied,confused,alarmed",preoccupied,32,55Preoccupied-S.jpg,Non-white,M,19,1
"excited,embarrassed,interested,sarcastic",excited,33,33Excited-L.jpg,White,F,31,1
"preoccupied,indifferent,uneasy,puzzled",indifferent,34,46Indifferent-Ju.jpg,Non-white,M,24,0
"enraged,angry,threatening,scared",threatening,35,70Threatening-E.jpg,White,M,22,1
"indifferent,preoccupied,puzzled,uneasy",indifferent,36,46Indifferent-Ju.jpg,White,F,42,1
"hostile,threatening,shocked,tentative",,37,41Hostile-R.jpg,Non-white,M,21,1
